frequency,raw
20.48,67.48
21.09,68.10
21.71,68.61
22.36,69.11
23.02,69.73
23.70,70.54
24.41,71.05
25.13,71.66
25.88,72.28
26.65,72.73
27.44,73.40
28.25,74.01
29.09,74.52
29.96,75.03
30.85,75.59
31.76,76.10
32.71,76.66
33.68,77.17
34.68,77.68
35.71,78.19
36.77,78.70
37.86,79.16
38.98,79.57
40.14,79.82
41.33,80.08
42.56,80.28
43.82,80.69
45.12,80.84
46.46,80.94
47.84,81.15
49.27,81.15
50.73,81.15
52.23,80.99
53.79,80.84
55.38,80.54
57.03,80.18
58.72,80.08
60.46,79.87
62.26,79.82
64.11,79.62
66.01,79.36
67.97,79.31
69.99,79.26
72.07,79.31
74.21,79.46
76.41,79.77
78.68,80.03
81.02,80.48
83.42,80.94
85.90,81.50
88.45,82.12
91.08,82.42
93.78,82.83
96.57,83.14
99.44,83.39
102.39,83.44
105.43,83.44
108.56,83.39
111.78,83.14
115.10,82.98
118.52,82.88
122.04,82.63
125.66,82.52
129.40,82.52
133.24,82.52
137.20,82.52
141.27,82.52
145.46,82.68
149.78,82.98
154.23,82.98
158.81,83.24
163.53,83.29
168.38,83.29
173.38,83.29
178.53,83.24
183.83,83.29
189.29,83.44
194.91,83.54
200.70,83.85
206.66,83.90
212.80,84.05
219.12,84.05
225.62,84.05
232.32,84.05
239.22,84.00
246.33,83.85
253.64,83.59
261.17,83.59
268.93,83.49
276.91,83.29
285.14,83.03
293.60,82.83
302.32,82.42
311.30,82.06
320.54,81.61
330.06,80.99
339.86,80.23
348.25,79.69
353.38,78.80
362.11,78.01
369.24,76.94
378.36,76.00
389.59,75.49
401.16,75.74
413.07,76.41
423.27,77.32
431.61,78.55
440.11,79.77
446.60,80.38
453.18,81.53
464.37,82.52
478.16,83.29
492.35,83.59
506.97,83.34
522.03,82.98
537.53,82.37
553.49,81.61
569.93,80.84
586.85,80.54
604.28,80.69
622.22,81.10
640.70,81.91
656.52,82.98
669.45,83.82
682.64,84.59
699.49,85.58
720.26,86.19
741.65,86.65
763.67,86.45
786.35,86.35
809.70,86.30
833.74,86.35
858.50,86.45
883.99,87.11
910.24,88.03
937.27,88.95
965.10,89.76
993.76,90.02
1023.27,89.86
1053.66,89.61
1084.95,89.00
1117.16,88.39
1150.34,88.18
1184.50,88.18
1219.67,88.28
1255.89,88.54
1293.18,88.54
1331.58,87.98
1371.12,87.26
1411.84,86.19
1453.76,85.28
1489.65,84.36
1504.25,83.44
1518.99,82.52
1533.88,81.61
1556.49,80.84
1564.10,80.00
1594.91,78.85
1626.33,77.78
1650.30,77.02
1674.62,75.18
1699.31,74.72
1707.61,73.65
1749.77,72.79
1792.96,72.73
1828.28,73.50
1864.30,74.57
1901.03,75.49
1938.47,76.25
1976.66,77.32
2005.80,78.24
2025.46,79.31
2065.36,80.54
2126.69,80.69
2189.84,80.54
2254.87,81.04
2321.82,81.45
2390.77,81.30
2461.76,81.35
2534.87,81.66
2610.14,82.27
2687.65,83.08
2767.46,83.49
2849.63,84.36
2934.25,85.07
3021.39,85.23
3111.11,85.68
3203.49,86.04
3298.62,86.30
3396.57,86.50
3497.43,86.50
3601.28,86.50
3708.22,86.40
3818.34,86.35
3931.72,86.30
4048.48,86.30
4168.69,86.45
4292.48,86.50
4419.95,87.06
4551.20,87.47
4686.34,87.98
4825.50,88.44
4968.80,88.85
5116.34,89.15
5268.27,89.46
5424.71,89.46
5585.80,89.05
5751.67,88.79
5922.46,89.05
6098.33,89.76
6279.42,90.27
6465.88,90.58
6657.89,90.63
6855.59,90.88
7059.17,90.53
7268.79,89.86
7484.63,89.05
7706.89,88.64
7935.74,88.74
8171.39,89.25
8414.04,89.76
8663.89,89.97
8921.17,90.32
9186.08,90.63
9458.86,91.14
9739.74,91.80
10028.96,92.21
10326.77,92.47
10633.42,92.67
10949.18,92.87
11274.31,93.08
11609.10,93.08
11953.83,93.18
12308.79,93.69
12674.30,94.15
13050.66,94.61
13438.20,95.07
13837.24,95.47
14248.14,95.52
14671.23,95.22
15106.89,94.96
15555.49,94.81
16017.41,94.71
16493.04,94.61
16982.80,94.61
17487.10,94.61
18006.38,94.76
18541.07,94.76
19091.65,94.91
19467.75,94.91
