frequency,raw
48,-39.01
50,-37.33
51,-35.93
52,-34.48
53,-33.09
54,-31.71
55,-30.34
57,-28.92
58,-27.57
59,-26.17
61,-24.64
63,-23.16
64,-21.72
66,-20.37
68,-18.86
70,-17.39
72,-16.00
74,-14.51
77,-13.09
80,-11.60
83,-10.35
86,-8.97
90,-7.60
96,-6.36
101,-5.37
107,-4.53
114,-3.74
120,-2.96
128,-2.28
135,-2.00
143,-2.36
152,-3.04
161,-3.41
170,-3.03
180,-2.12
191,-1.37
202,-1.13
214,-1.21
227,-1.35
240,-1.35
254,-1.20
269,-0.91
285,-0.50
302,0.31
320,0.91
339,0.85
359,0.71
380,0.49
402,-0.18
426,-0.75
451,-0.94
478,-0.56
506,0.30
536,1.25
567,1.93
601,1.74
636,0.94
674,0.37
713,0.77
756,2.10
800,3.03
847,2.86
897,2.13
950,1.45
1006,0.95
1066,0.75
1128,0.62
1195,0.32
1265,-0.20
1340,-0.40
1419,-0.59
1503,-1.35
1591,-2.32
1685,-3.04
1785,-3.08
1890,-2.83
2001,-3.32
2104,-4.95
2202,-6.07
2328,-5.83
2461,-4.59
2568,-3.21
2660,-1.69
2751,-0.33
2882,1.22
3052,2.34
3232,3.42
3422,4.37
3624,4.95
3838,5.36
4064,5.68
4304,5.08
4557,3.95
4826,2.87
5111,1.75
5412,1.10
5731,0.70
6069,-0.03
6427,-0.78
6753,-0.10
7003,1.36
7282,2.76
7672,3.77
8124,3.56
8603,2.77
9110,2.76
9647,3.61
10216,4.35
10818,4.40
11396,3.33
12006,2.22
12615,2.89
13117,4.35
13746,5.55
14557,5.33
15255,4.06
15739,2.63
16095,1.19
16409,-0.19
16717,-1.55
17056,-2.94
17338,-4.36
17689,-5.83
17943,-7.22
18372,-8.74
19284,-9.88
19948,-9.97
