frequency,raw
18.60,82.68
19.17,82.76
19.77,82.76
20.38,82.76
21.01,82.76
21.66,82.76
22.33,82.76
23.03,82.72
23.74,82.72
24.47,82.72
25.23,82.72
26.02,82.64
26.82,82.64
27.65,82.64
28.51,82.64
29.39,82.52
30.30,82.44
31.24,82.40
32.21,82.40
33.21,82.28
34.24,82.20
35.30,82.16
36.39,82.12
37.52,82.04
38.68,81.93
39.88,81.89
41.11,81.73
42.39,81.69
43.70,81.57
45.06,81.45
46.45,81.33
47.89,81.21
49.37,81.13
50.90,80.97
52.48,80.77
54.11,80.69
55.78,80.54
57.51,80.42
59.29,80.26
61.13,80.06
63.02,79.98
64.98,79.86
66.99,79.66
69.07,79.54
71.21,79.38
73.41,79.15
75.69,78.95
78.03,78.83
80.45,78.59
82.94,78.43
85.51,78.19
88.16,78.03
90.89,77.84
93.71,77.68
96.61,77.44
99.60,77.24
102.69,77.08
105.87,76.80
109.15,76.64
112.53,76.41
116.02,76.17
119.62,76.01
123.32,75.77
127.14,75.57
131.08,75.37
135.14,75.13
139.33,74.94
143.65,74.66
148.10,74.50
152.68,74.26
157.42,74.02
162.29,73.82
167.32,73.55
172.50,73.35
177.85,73.07
183.36,72.99
189.04,72.71
194.90,72.43
200.94,72.20
207.16,72.00
213.58,71.76
220.20,71.52
227.02,71.32
234.05,71.08
241.30,70.85
248.78,70.61
256.49,70.33
264.43,70.13
272.63,69.93
281.07,69.73
289.78,69.46
298.76,69.26
308.02,69.02
317.56,68.78
327.40,68.54
337.54,68.34
348.00,68.07
358.78,67.83
369.90,67.63
381.36,67.55
393.17,67.43
405.36,67.23
417.91,66.99
430.86,66.80
444.21,66.56
457.97,66.36
472.16,66.12
486.79,65.92
501.87,65.72
517.42,65.52
533.45,65.33
549.98,65.17
567.02,64.97
584.59,64.77
602.70,64.61
621.37,64.41
640.63,64.25
660.47,64.09
680.94,63.98
702.03,63.82
723.78,63.82
746.21,63.66
765.43,63.16
785.14,62.70
809.46,63.18
834.54,63.22
860.40,63.10
887.06,63.10
914.54,63.14
942.87,63.26
972.09,63.34
1002.20,63.46
1033.25,63.66
1065.27,63.94
1098.27,64.13
1132.30,64.41
1167.38,64.69
1203.55,64.89
1240.84,65.13
1279.28,65.29
1318.92,65.48
1359.78,65.64
1401.91,65.72
1445.34,65.88
1490.12,65.96
1536.29,66.12
1583.89,66.20
1632.96,66.32
1683.55,66.44
1735.71,66.64
1789.49,66.80
1844.93,67.03
1902.09,67.31
1961.02,67.55
2021.78,67.79
2084.42,68.19
2149.00,68.50
2215.58,68.94
2284.23,69.38
2355.00,69.85
2427.96,70.29
2503.18,70.77
2580.74,71.24
2660.70,71.60
2743.13,72.00
2828.12,72.20
2915.74,72.35
3006.08,72.32
3099.21,72.16
3195.23,71.92
3294.23,71.60
3396.29,71.20
3501.52,70.81
3610.00,70.41
3721.85,69.93
3837.16,69.57
3956.05,69.22
4078.61,68.86
4204.98,68.50
4335.26,68.22
4469.58,67.99
4608.05,67.75
4750.82,67.59
4898.01,67.43
5049.77,67.39
5206.22,67.39
5367.52,67.55
5533.82,67.71
5705.27,68.11
5882.03,68.58
6064.27,69.42
6252.16,70.17
6380.64,71.05
6511.76,71.86
6611.86,72.63
6713.51,73.47
6816.71,74.24
6921.51,75.11
7039.83,76.01
7208.90,76.64
7432.25,76.33
7584.98,75.31
7740.85,74.24
7819.98,73.39
7980.68,72.57
8144.68,71.56
8340.28,70.77
8482.86,70.13
8745.68,69.50
9016.64,69.02
9296.00,68.78
9584.01,68.62
9880.94,68.26
10135.40,67.69
10343.68,67.03
10502.70,66.08
10664.16,65.19
10791.45,64.41
10938.79,63.94
10994.56,63.28
11106.95,62.51
11220.49,61.85
11335.19,61.14
11470.50,60.36
11686.38,59.05
11866.04,58.69
11926.54,58.04
12109.88,57.26
12358.74,56.31
12612.71,55.52
12871.89,54.80
13270.69,54.25
13681.85,53.89
14105.75,54.05
14542.78,54.72
14791.40,55.52
15095.35,56.79
14993.35,56.07
15249.67,57.86
15405.56,58.77
15563.04,60.20
15457.88,59.65
15722.14,61.71
15615.90,61.08
15969.25,63.36
15936.80,62.57
16264.29,62.74
16347.21,61.20
16514.33,57.98
16430.56,57.62
16598.52,57.03
16683.15,56.19
16654.89,55.36
16768.20,54.64
16853.69,53.27
17025.98,52.26
16997.14,51.47
17200.03,49.82
17375.86,48.75
17523.75,47.57
17732.93,46.06
17914.20,45.11
18066.68,44.24
18282.33,43.44
18189.60,43.09
18469.23,42.49
18658.03,41.54
18563.39,41.18
18848.76,40.58
19041.45,39.87
19138.53,39.11
19334.17,38.32
19531.82,37.57
19731.48,36.73
19798.49,35.82
20068.81,35.02
20000.88,34.07
20342.81,33.20
20239.62,32.42
20550.77,30.66
20655.54,29.15
20760.85,28.27
20973.08,26.84
21230.62,25.91
21187.48,24.98
21458.56,24.20
21404.07,23.39
21622.87,26.92
21843.92,29.31
21888.40,25.95
22067.22,23.43
22179.72,28.43
22292.80,26.92
22349.56,22.80
22406.46,26.17
22520.69,25.49
22673.91,23.83
22635.51,22.06
22750.91,22.71
